g_ptsx,g_ptsy
0,1
5.00E-05,1
0.000051,0.892031106
5.30E-05,0.833449416
5.60E-05,0.765603534
6.00E-05,0.700498632
0.000065,0.637495065
7.10E-05,0.5770329
7.80E-05,0.51896858
8.60E-05,0.46392519
9.50E-05,0.411953101
0.000105,0.363317517
0.000116,0.318071992
0.000128,0.276408101
0.000141,0.238346357
0.000155,0.203869925
0.00017,0.172985826
0.000186,0.145569685
0.000203,0.121500562
0.000221,0.100592195
0.00024,0.082624044
0.00026,0.067359965
0.000281,0.054521252
0.000303,0.043843264
0.000326,0.035057098
0.00035,0.02788917
0.000375,0.022104428
0.000401,0.017469779
0.000428,0.013792148
0.000456,0.010886511
0.000485,0.008611123
0.000515,0.006834099
0.000546,0.005449554
0.000578,0.004374234
0.000611,0.003537939
0.000645,0.002885415
0.00068,0.002373016
0.000716,0.001968927
0.000753,0.001647191
0.000791,0.001387294
0.00083,0.001174535
0.00087,0.000999224
0.000911,0.000849977
0.000953,0.000724087
0.000996,0.000612656
0.00104,0.000515854
0.001085,0.000427543
0.001131,0.000348095
0.001178,0.000273461
0.001226,0.000203635
0.001275,0.000136063
0.001325,7.08E-05
0.001376,6.33E-06
0.00138,0
